3ZA69,,,,,,,,,
,รายรับ,,,สรุป,,,,,
รหัส,จำนวน,ราคา,,รวมรายรับ,"1,362,358.94",,,,
1A,331,"330,669.00",,รวมรายจ่าย,"1,402,157.07",,,,
1B,458,"457,542.00",,คงเหลือ,"-39,798.13",,,,
1C,57,"102,030.00",,,,,,,
4A,141,"140,859.00",,เปอร์เซนต์รายได้ต่อแอด,,,,,
4B,291,"290,709.00",,รายได้ทั้งหมด,"1,362,358.94",84.47,,,
4C,21,"37,590.00",,แอดทั้งหมด,"211,599.02",15.53,,,
,,,,,,,,,
,,,,แบ่งแล้วรวม,แบ่งแล้วแต่ละคน,ร้อยละของรายได้,,,
,,,,"1,134,000","378,000",83.24,,,
,,,,,,,,,
,,,,,,,,,
,รับจาก 3ZAP,"2,959.94",22/12/2568,,,,,,
,,,,,,,,,
รายจ่าย ค่าแอด+จ้างยิง,,,กรอกรายจ่ายอื่นๆ,,,,แบ่งรายได้,,
ว/ด/ป,รายการ,ราคา,ว/ด/ป,รายการ,ราคา,หมายเหตุ,ว/ด/ป,แบ่งคนละ,รวม
3 มค 69,Ad 21-31 ธค 68,"9,244.80",6/มค/69,ค่าแชทบอต,999.00,,21/มค/69,"20,000","60,000"
11 มค 69,Ad 1-10 มค 69,"7,204.00",23 มค 69,กล่องสุ่มรีวิว 3zeed,"1,814.00",,1/กพ/69,"30,000","90,000"
21 มค 69,Ad 11-20 มค 69,"10,068.70",4 กพ 69,ค่าแชทบอทใหม่,"1,500.00",,12/กพ/69,"100,000","300,000"
1 กพ 69,Ad 21-31 มค 69,"30,911.62",5 กพ 69,ค่าจ้างยิงแอด,"3,000.00",,1 มีค 69,"80,000","240,000"
11 กพ 69,Ad 1-10 กพ 69,"35,235.02",10 กพ 69,ค่า zoom 3sa,"4,012.05",,14/มีค/69,"70,000","210,000"
21 กพ 69,Ad 1-20 กพ 69,"28,478.35",11 กพ 69,ภาษี 1-5 แสน (แสนละ 2100),"10,500.00",,23 มีค 69,"78,000","234,000"
1 มีค 69,Ad 21-28 กพ 69,"16,161.02",16 กพ 69,Poster 3sa ปกติ,600.00,,,,0
11 มีค 69,Ad 1-10 มีค 69,"32,198.87",19 กพ 69,ทำรีวิว 4 เพจ,"1,000.00",,,,0
21 มีค 69,Ad 11-20 มีค 69,"35,255.67",1 มีค 69,ภาพแอด 3cool,800.00,,,,0
23 มีค 69,Ad 21-22 มีค 69,"6,840.97",5 มีค 69,ค่าจ้างยิง ad,"3,000.00",,,,0
,,,11 มีค 69,Zoom ม.1/ม.4,"8,025.00",,,,0
,,,14 มีค 69,ค่าส่งรางวัล + congrats,"2,408.00",,,,0
,,,14 มีค 69,ภาษี 6 แสน- 1 ล้าน (แสนละ 2100),"10,500.00",,,,0
,,,23 มีค 69,ภาษี 1.1-1.4M (4แสน),"8,400.00",,,,0
,,,,,,,,,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,0
,,,จ่ายภาษี 29400,,,,,,0
,,,"คงเหลือภาษี 22,705.65 - 17,567",,เหลือ,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,"📣เคลียยอด 3ZA 2026 ✅✅
เริ่มยิงแอด 20 ธ.ค. 2568 รายได้ทั้งหมด (ข้อมูลวันที่ 25/มีค/69)
= 1,362,358.94 บาท

มีรายการหักดังนี้ 
1. หักภาษีแสนที่ 14 เป็นเงิน 29,400 บ.
2. จ่ายค่าแอด เป็นเงิน 211,599.02 บ.
3. ส่วนแบ่งครู เป็นเงิน  1,134,000 บ
(คนละ 378,000 บ)
4. ยอดค้างบัญชีเดิม(ธค 2568) = 22,108.38 รวมยอดตั้งแต่เริ่มคอร์ส ธ.ค. 68 - มี.ค. 69 รวมทั้งสิ้น 1,409,244.43

ปิดบัญชี 3ZA ณ วันที่ 26 มี.ค. 2568",,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
